"Dates","DIS","BABA","JNJ","FB"
"2015-04-08",100.340424,85.389999,90.400856,82.279999
"2015-04-09",100.727203,86.139999,91.456863,82.169998
"2015-04-10",100.897018,84.580002,92.11573,82.040001
"2015-04-13",100.481934,84.279999,90.752853,83.010002
"2015-04-14",100.623451,85,90.725792,83.519997
"2015-04-15",100.925339,84.669998,90.797997,82.709999
"2015-04-16",101.981949,84.059998,90.06691,82.309998
"2015-04-17",100.651741,81.900002,89.877388,80.779999
"2015-04-20",102.095154,82.199997,90.445976,83.089996
"2015-04-21",101.585716,82.419998,90.527222,83.620003
"2015-04-22",101.831009,82.050003,90.644554,84.629997
"2015-04-23",102.831001,82.279999,90.671638,82.410004
"2015-04-24",103.331009,84.57,91.231216,81.529999
"2015-04-27",103.925362,84.900002,90.779945,81.910004
"2015-04-28",103.698936,85.080002,90.924332,80.68
"2015-04-29",103.595154,82.449997,90.608437,80.470001
"2015-04-30",102.566872,81.290001,89.534393,78.769997
"2015-05-01",104.264977,81.169998,90.373779,78.989998
"2015-05-04",104.746117,80.589996,90.572342,78.809998
"2015-05-05",104.538567,79.540001,89.805168,77.559998
"2015-05-06",103.510262,80,89.507317,78.099998
"2015-05-07",103.076286,86,89.949585,78.43
"2015-05-08",103.878189,87.059998,91.583221,78.510002
"2015-05-11",102.453651,86.720001,91.186104,78.010002
"2015-05-12",103.057419,86.769997,90.680649,77.459999
"2015-05-13",103.010246,87.529999,90.752853,78.440002
"2015-05-14",103.708374,88.400002,91.908157,81.370003
"2015-05-15",104.057434,88.459999,92.332344,80.419998
"2015-05-18",104.085739,87.110001,93.343224,80.879997
"2015-05-19",104.302719,88.209999,93.830597,80.629997
"2015-05-20",103.963089,90.699997,93.505669,80.550003
"2015-05-21",104.142334,93.879997,93.114738,80.480003
"2015-05-22",104.019707,93.269997,92.141983,80.540001
"2015-05-26",103.246109,92.519997,91.66011,79.330002
"2015-05-27",104.123466,92.599998,91.94194,80.550003
"2015-05-28",104.274414,90.949997,91.960136,80.150002
"2015-05-29",104.123466,89.32,91.041885,79.190002
"2015-06-01",104.680077,90.779999,90.950981,80.290001
"2015-06-02",104.481964,90.510002,90.896446,80.440002
"2015-06-03",104.878197,90.790001,90.996445,82.440002
"2015-06-04",104.057434,90.589996,90.214554,82.050003
"2015-06-05",104.057434,90.709999,89.632713,82.139999
"2015-06-08",103.104599,88.290001,89.059967,80.669998
"2015-06-09",102.378174,87.580002,89.287247,80.669998
"2015-06-10",103.774406,88.900002,89.896355,82.160004
"2015-06-11",104.359337,87.209999,90.223656,81.830002
"2015-06-12",103.727242,86.629997,89.414528,81.529999
"2015-06-15",103.944221,86.120003,88.632652,80.709999
"2015-06-16",104.774422,86.089996,89.423615,81.059998
"2015-06-17",105.180084,86.800003,89.760025,81.790001
"2015-06-18",106.81218,86.75,91.241905,82.910004
"2015-06-19",106.246124,85.739998,90.787354,82.510002
"2015-06-22",107.104622,85.68,90.996445,84.739998
"2015-06-23",107.934822,85.080002,90.714615,87.879997
"2015-06-24",107.331039,85.169998,90.305496,88.860001
"2015-06-25",107.972557,85.239998,90.114571,87.980003
"2015-06-26",108.481995,83.279999,90.587318,88.010002
"2015-06-29",106.651794,81.07,88.805397,85.800003
"2015-06-30",107.680107,82.269997,88.605377,85.769997
"2015-07-01",109.245766,82.459999,89.523621,86.910004
"2015-07-02",109.093941,82.07,89.496353,87.290001
"2015-07-06",109.786644,80.230003,89.278145,87.550003
"2015-07-07",111.115082,79.620003,89.932732,87.220001
"2015-07-08",109.302704,77.940002,88.887207,85.650002
"2015-07-09",109.691742,79.040001,89.459976,85.879997
"2015-07-10",110.488823,80.300003,90.487328,87.949997
"2015-07-13",112.016533,81.860001,91.160088,90.099998
"2015-07-14",111.826759,81.5,90.714615,89.68
"2015-07-15",112.253761,80.730003,91.296455,89.760002
"2015-07-16",112.984406,81.529999,91.923744,90.849998
"2015-07-17",112.785133,83.360001,90.987343,94.970001
"2015-07-20",113.468323,82.669998,91.250992,97.910004
"2015-07-21",113.212135,82.540001,91.223717,98.389999
"2015-07-22",113.23111,84.150002,91.078262,97.040001
"2015-07-23",112.728203,83.879997,91.096458,95.440002
"2015-07-24",112.832581,83.019997,90.141846,96.949997
"2015-07-27",112.206322,81.400002,89.350876,94.169998
"2015-07-28",112.405579,80.559998,90.023651,95.290001
"2015-07-29",113.715042,80.260002,90.669136,96.989998
"2015-07-30",113.89534,79.959999,90.769165,95.209999
"2015-07-31",113.866859,78.339996,91.10553,94.010002
"2015-08-03",114.929626,77.989998,90.9328,94.139999
"2015-08-04",115.47049,78.870003,90.732796,94.059998
"2015-08-05",104.880875,79.82,91.387383,96.440002
"2015-08-06",103.002068,78.959999,90.069115,95.120003
"2015-08-07",103.761177,78.82,89.869095,94.300003
"2015-08-10",105.326851,80.470001,90.723694,94.150002
"2015-08-11",102.480179,77.339996,90.014572,93.620003
"2015-08-12",101.521805,73.379997,89.741821,94.190002
"2015-08-13",102.024704,75.110001,89.532715,93.43
"2015-08-14",101.683113,74.760002,89.832741,94.419998
"2015-08-17",103.476509,75.190002,90.796425,93.93
"2015-08-18",101.474373,73.879997,90.34185,95.169998
"2015-08-19",101.009407,73.120003,90.287308,95.309998
"2015-08-20",94.908043,70.32,89.814545,90.559998
"2015-08-21",93.788338,68.18,87.542603,86.059998
"2015-08-24",90.486198,65.800003,85.032516,82.089996
"2015-08-25",90.989128,68.57,83.117859,83
"2015-08-26",94.158409,68.660004,87.130363,87.190002
"2015-08-27",96.948143,70.839996,88.147247,89.730003
"2015-08-28",97.242317,70.07,87.185318,91.010002
"2015-08-31",96.672958,66.120003,86.095169,89.43
"2015-09-01",94.424095,64.830002,84.363747,87.230003
"2015-09-02",96.682457,65.540001,85.518036,89.889999
"2015-09-03",96.777351,66.470001,84.867592,88.150002
"2015-09-04",95.809486,63.91,83.649185,88.260002
"2015-09-08",98.694107,60.91,86.05854,89.529999
"2015-09-09",96.701447,64.040001,84.482841,90.440002
"2015-09-10",97.356178,63.830002,84.94088,91.980003
"2015-09-11",99.140099,64.629997,85.133278,92.050003
"2015-09-14",98.513809,62.599998,85.490555,92.309998
"2015-09-15",98.143745,64.849998,86.479942,92.900002
"2015-09-16",98.646667,67.230003,86.672325,93.449997
"2015-09-17",98.87439,66,86.883018,94.339996
"2015-09-18",97.583916,65.75,85.554672,94.400002
"2015-09-21",98.124771,63.900002,85.316498,95.550003
"2015-09-22",97.251801,61.900002,85.417267,92.959999
"2015-09-23",96.378815,60,85.188232,93.970001
"2015-09-24",95.477371,59.919998,84.721024,94.410004
"2015-09-25",95.173729,59.240002,83.365196,92.769997
"2015-09-28",93.45623,57.389999,83.704163,89.209999
"2015-09-29",94.338699,57.82,85.234047,86.669998
"2015-09-30",96.976608,58.970001,85.518036,89.900002
"2015-10-01",97.4226,58.869999,85.353127,90.949997
"2015-10-02",97.735733,63.200001,86.049355,92.07
"2015-10-05",98.542274,63.93,86.809731,94.010002
"2015-10-06",98.46637,63.919998,85.582153,92.800003
"2015-10-07",98.105797,66.279999,87.011284,92.400002
"2015-10-08",99.263451,67.699997,87.102882,92.470001
"2015-10-09",100.164879,68.709999,87.368553,93.239998
"2015-10-12",100.914513,70.300003,87.936539,94.260002
"2015-10-13",101.142242,69.68,87.441826,94.120003
"2015-10-14",100.326202,68.540001,86.59903,94.07
"2015-10-15",102.375809,71.779999,88.999229,95.959999
"2015-10-16",102.707916,71.989998,89.99778,97.540001
"2015-10-19",103.875053,72.650002,89.722923,98.470001
"2015-10-20",104.226135,71.790001,89.402306,97
"2015-10-21",104.463348,69.480003,89.438934,97.110001
"2015-10-22",107.461853,70.989998,91.179543,99.669998
"2015-10-23",107.310028,75.620003,91.894096,102.190002
"2015-10-26",107.718056,76.349998,91.555138,103.769997
"2015-10-27",107.955284,79.440002,91.784172,103.699997
"2015-10-28",108.49614,82.349998,92.049828,104.199997
"2015-10-29",109.160378,82.220001,92.865158,104.879997
"2015-10-30",107.926804,83.830002,92.553696,101.970001
"2015-11-02",109.160378,84.349998,93.598053,103.309998
"2015-11-03",109.634811,83.440002,93.405663,102.580002
"2015-11-04",107.461853,85.400002,93.387344,103.940002
"2015-11-05",107.22464,85.379997,93.744629,108.760002
"2015-11-06",109.758171,83.610001,93.369019,107.099998
"2015-11-09",110.469841,81.379997,92.379623,106.489998
"2015-11-10",111.418732,81.43,92.938454,107.910004
"2015-11-11",110.564728,79.849998,93.314049,109.010002
"2015-11-12",110.270576,78.760002,91.857452,108.019997
"2015-11-13",108.970596,75.849998,91.500168,103.949997
"2015-11-16",109.995392,78.300003,92.727745,104.040001
"2015-11-17",110.194664,78.129997,92.984253,105.129997
"2015-11-18",112.101936,77.690002,94.056099,107.769997
"2015-11-19",112.642799,77.870003,93.891197,106.260002
"2015-11-20",113.933304,79.949997,94.574104,107.32
"2015-11-23",113.316513,81.309998,94.841736,106.949997
"2015-11-24",111.921638,80.860001,94.168053,105.739998
"2015-11-25",112.604851,81.709999,94.094223,105.410004
"2015-11-27",109.245766,81.379997,94.472595,105.449997
"2015-11-30",107.670609,84.080002,93.429764,104.239998
"2015-12-01",109.492477,84,94.463364,107.120003
"2015-12-02",108.173531,85,94.177277,106.07
"2015-12-03",106.171356,82.589996,93.014481,104.379997
"2015-12-04",108.401253,84.849998,95.007851,106.18
"2015-12-07",108.012207,84.760002,95.349304,105.610001
"2015-12-08",106.731209,84.379997,94.51873,106.489998
"2015-12-09",105.772842,83.419998,94.269569,104.599998
"2015-12-10",105.772835,84.330002,94.721764,105.419998
"2015-12-11",103.175308,79.739998,93.835831,102.120003
"2015-12-14",104.426315,80.57,94.269569,104.660004
"2015-12-15",107.109802,82.489998,96.096809,104.550003
"2015-12-16",108.666389,84.629997,97.130417,106.790001
"2015-12-17",106.966553,83.559998,95.64463,106.220001
"2015-12-18",102.869705,82.650002,94.084984,104.040001
"2015-12-21",101.790588,82.870003,93.743546,104.769997
"2015-12-22",101.933838,84.839996,94.786354,105.510002
"2015-12-23",100.806961,84.800003,95.50618,104.629997
"2015-12-24",101.093452,83.709999,95.718452,105.019997
"2015-12-28",102.420876,82.139999,95.257019,105.93
"2015-12-29",102.258537,83.260002,96.004539,107.260002
"2015-12-30",101.551849,81.68,95.773804,106.220001
"2015-12-31",100.348587,81.269997,94.795593,104.660004
"2016-01-04",98.343132,76.690002,92.728394,102.220001
"2016-01-05",96.356804,78.629997,93.11599,102.730003
"2016-01-06",95.841103,77.330002,92.645325,102.970001
